stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
601878.SH,,highest_peak,20170908,22.94,20210308,6.882000000000001,2025-03-26 00:49:17
601868.SH,,highest_peak,20210930,3.02,20250330,0.9059999999999999,2025-03-26 00:51:23
600019.SH,,highest_peak,20210910,11.24,20250310,3.372,2025-03-26 00:40:19
600161.SH,,highest_peak,20150605,52.2,20181205,15.66,2025-03-26 00:46:40
600009.SH,,highest_peak,20190823,87.19,20230223,26.157,2025-03-26 00:45:51
601006.SH,,highest_peak,20150430,13.97,20181030,4.191,2025-03-26 00:40:48
601360.SH,,highest_peak,20180214,63.24,20210814,18.972,2025-03-26 00:49:34
000983.SZ,,highest_peak,20120504,18.95,20151104,5.685,2025-03-26 00:46:27
000100.SZ,,highest_peak,20210122,9.94,20240722,2.9819999999999998,2025-03-26 00:44:34
601688.SH,,highest_peak,20150522,31.73,20181122,9.519,2025-03-26 00:44:26
601698.SH,,highest_peak,20200807,25.07,20240207,7.521,2025-03-26 00:47:35
600760.SH,,highest_peak,20210108,95.45,20240708,28.635,2025-03-26 00:42:13
600406.SH,,highest_peak,20211126,44.9,20250526,13.469999999999999,2025-03-26 00:45:46
601919.SH,,highest_peak,20210702,30.66,20250102,9.198,2025-03-26 00:44:46
000708.SZ,,highest_peak,20210210,33.37,20240810,10.011,2025-03-26 00:47:37
300418.SZ,,highest_peak,20150508,155.91,20181108,46.772999999999996,2025-03-26 00:49:08
300408.SZ,,highest_peak,20150515,81.0,20181115,24.3,2025-03-26 00:41:51
600999.SH,,highest_peak,20150410,37.29,20181010,11.187,2025-03-26 00:40:46
600000.SH,,highest_peak,20151225,19.32,20190625,5.796,2025-03-26 00:43:12
600010.SH,,highest_peak,20150424,7.16,20181024,2.148,2025-03-26 00:41:39
600989.SH,,highest_peak,20210210,19.47,20240810,5.840999999999999,2025-03-26 00:49:43
603659.SH,,highest_peak,20210917,191.04,20250317,57.312,2025-03-26 00:47:19
002920.SZ,,highest_peak,20220729,195.0,20260129,58.5,2025-03-26 00:50:10
601766.SH,,highest_peak,20150417,35.88,20181017,10.764000000000001,2025-03-26 00:44:24
000977.SZ,,highest_peak,20150424,71.39,20181024,21.416999999999998,2025-03-26 00:40:00
603260.SH,,highest_peak,20210827,227.38,20250227,68.214,2025-03-26 00:46:33
600893.SH,,highest_peak,20210122,75.47,20240722,22.641,2025-03-26 00:42:26
300347.SZ,,highest_peak,20210625,194.93,20241225,58.479,2025-03-26 00:51:26
300502.SZ,,highest_peak,20161125,160.1,20200525,48.029999999999994,2025-03-26 00:40:57
002304.SZ,,highest_peak,20210108,242.47,20240708,72.741,2025-03-26 00:42:33
601658.SH,,highest_peak,20210210,6.18,20240810,1.8539999999999999,2025-03-26 00:40:02
002709.SZ,,highest_peak,20211029,164.93,20250429,49.479,2025-03-26 00:51:19
601799.SH,,highest_peak,20211029,228.66,20250429,68.598,2025-03-26 00:48:21
300896.SZ,,highest_peak,20210210,1215.0,20240810,364.5,2025-03-26 00:48:45
000001.SZ,,highest_peak,20210205,24.93,20240805,7.478999999999999,2025-03-26 00:44:21
002352.SZ,,highest_peak,20210210,117.1,20240810,35.129999999999995,2025-03-26 00:45:27
688256.SH,,highest_peak,20200724,259.33,20240124,77.79899999999999,2025-03-26 00:42:56
300015.SZ,,highest_peak,20210210,91.1,20240810,27.33,2025-03-26 00:40:52
000063.SZ,,highest_peak,20200306,50.86,20230906,15.258,2025-03-26 00:43:18
601117.SH,,highest_peak,20210903,13.87,20250303,4.161,2025-03-26 00:50:42
601319.SH,,highest_peak,20190308,11.55,20220908,3.4650000000000003,2025-03-26 00:46:17
300413.SZ,,highest_peak,20210122,91.98,20240722,27.594,2025-03-26 00:46:31
002736.SZ,,highest_peak,20150605,32.1,20181205,9.63,2025-03-26 00:51:12
000876.SZ,,highest_peak,20200904,39.69,20240304,11.906999999999998,2025-03-26 00:46:03
601336.SH,,highest_peak,20171117,71.72,20210517,21.516,2025-03-26 00:45:56
600111.SH,,highest_peak,20120406,71.67,20151006,21.501,2025-03-26 00:40:07
601138.SH,,highest_peak,20230714,27.26,20270114,8.178,2025-03-26 00:44:54
601808.SH,,highest_peak,20150612,31.17,20181212,9.351,2025-03-26 00:47:52
601818.SH,,highest_peak,20150612,6.22,20181212,1.8659999999999999,2025-03-26 00:40:36
002422.SZ,,highest_peak,20130301,68.87,20160901,20.661,2025-03-26 00:50:12
002241.SZ,,highest_peak,20130517,64.7,20161117,19.41,2025-03-26 00:40:41
688041.SH,,highest_peak,20230428,94.15,20261028,28.245,2025-03-26 00:42:58
601633.SH,,highest_peak,20211029,68.0,20250429,20.4,2025-03-26 00:49:13
601066.SH,,highest_peak,20200807,54.67,20240207,16.401,2025-03-26 00:49:15
600233.SH,,highest_peak,20160415,40.46,20191015,12.138,2025-03-26 00:46:42
000938.SZ,,highest_peak,20151106,120.0,20190506,36.0,2025-03-26 00:40:50
000725.SZ,,highest_peak,20210430,7.33,20241030,2.199,2025-03-26 00:42:44
600875.SH,,highest_peak,20150605,29.85,20181205,8.955,2025-03-26 00:48:31
300308.SZ,,highest_peak,20230621,159.9,20261221,47.97,2025-03-26 00:45:06
002466.SZ,,highest_peak,20160520,189.1,20191120,56.73,2025-03-26 00:49:56
000975.SZ,,highest_peak,20150605,27.06,20181205,8.117999999999999,2025-03-26 00:50:38
300033.SZ,,highest_peak,20230407,220.0,20261007,66.0,2025-03-26 00:40:15
600482.SH,,highest_peak,20151225,49.53,20190625,14.859,2025-03-26 00:47:05
000768.SZ,,highest_peak,20150605,45.98,20181205,13.793999999999999,2025-03-26 00:49:25
