stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
000807.SZ,,latest_peak,20210917,20.21,20250317,6.063,2025-03-26 00:49:55
600160.SH,,latest_peak,20151231,23.47,20190630,7.0409999999999995,2025-03-26 00:49:05
600018.SH,,latest_peak,20150612,10.31,20181212,3.093,2025-03-26 00:48:41
300394.SZ,,latest_peak,20151225,132.01,20190625,39.602999999999994,2025-03-26 00:51:34
002938.SZ,,latest_peak,20201204,55.4,20240604,16.619999999999997,2025-03-26 00:50:41
601021.SH,,latest_peak,20151016,130.86,20190416,39.258,2025-03-26 00:45:55
601088.SH,,latest_peak,20231201,31.51,20270601,9.453,2025-03-26 00:43:17
601901.SH,,latest_peak,20150612,15.06,20181212,4.518,2025-03-26 00:49:37
605499.SH,,latest_peak,20210709,257.67,20250109,77.301,2025-03-26 00:42:30
600938.SH,,latest_peak,20231229,20.97,20270629,6.2909999999999995,2025-03-26 00:42:00
002601.SZ,,latest_peak,20120316,104.8,20150916,31.439999999999998,2025-03-26 00:51:10
601628.SH,,latest_peak,20201016,49.63,20240416,14.889,2025-03-26 00:41:03
600332.SH,,latest_peak,20190705,41.8,20230105,12.54,2025-03-26 00:48:13
600515.SH,,latest_peak,20151225,18.51,20190625,5.553,2025-03-26 00:48:44
002916.SZ,,latest_peak,20200508,256.3,20231108,76.89,2025-03-26 00:46:56
601211.SH,,latest_peak,20150710,31.32,20190110,9.395999999999999,2025-03-26 00:42:43
600026.SH,,latest_peak,20221104,20.02,20260504,6.005999999999999,2025-03-26 00:48:39
600036.SH,,latest_peak,20220211,52.76,20250811,15.828,2025-03-26 00:43:39
601857.SH,,latest_peak,20150724,13.68,20190124,4.104,2025-03-26 00:44:32
601607.SH,,latest_peak,20180525,27.04,20211125,8.112,2025-03-26 00:46:10
000338.SZ,,latest_peak,20150612,35.83,20181212,10.748999999999999,2025-03-26 00:44:52
600489.SH,,latest_peak,20120615,23.8,20151215,7.14,2025-03-26 00:50:02
688303.SH,,latest_peak,20211029,81.07,20250429,24.320999999999998,2025-03-26 00:47:34
300122.SZ,,latest_peak,20210611,193.3,20241211,57.99,2025-03-26 00:51:15
601878.SH,,latest_peak,20200710,20.23,20240110,6.069,2025-03-26 00:49:18
601868.SH,,latest_peak,20230428,2.71,20261028,0.813,2025-03-26 00:51:24
600019.SH,,latest_peak,20210910,11.24,20250310,3.372,2025-03-26 00:40:21
600161.SH,,latest_peak,20210108,44.99,20240708,13.497,2025-03-26 00:46:41
600009.SH,,latest_peak,20210129,79.0,20240729,23.7,2025-03-26 00:45:52
601006.SH,,latest_peak,20150710,12.13,20190110,3.6390000000000002,2025-03-26 00:40:49
601360.SH,,latest_peak,20180214,63.24,20210814,18.972,2025-03-26 00:49:35
000983.SZ,,latest_peak,20220610,16.29,20251210,4.887,2025-03-26 00:46:30
000100.SZ,,latest_peak,20210402,9.86,20241002,2.9579999999999997,2025-03-26 00:44:35
601688.SH,,latest_peak,20150522,31.73,20181122,9.519,2025-03-26 00:44:27
601698.SH,,latest_peak,20230421,22.84,20261021,6.851999999999999,2025-03-26 00:47:36
600760.SH,,latest_peak,20210219,81.57,20240819,24.470999999999997,2025-03-26 00:42:14
600406.SH,,latest_peak,20211224,44.7,20250624,13.41,2025-03-26 00:45:47
601919.SH,,latest_peak,20210702,30.66,20250102,9.198,2025-03-26 00:44:47
000708.SZ,,latest_peak,20210305,30.0,20240905,9.0,2025-03-26 00:47:38
300418.SZ,,latest_peak,20151030,141.65,20190430,42.495,2025-03-26 00:49:09
