trade_date,open,high,low,close,vol
20160826,5.34,5.58,5.3,5.35,147491042.0
20160819,5.32,5.43,5.23,5.34,127218586.0
20160812,5.36,5.5,5.21,5.31,92996632.0
20160805,5.34,5.5,5.22,5.4,82245698.0
20160729,5.61,5.81,5.26,5.32,114003008.0
20160722,5.81,5.98,5.58,5.61,151723700.0
20160715,5.78,5.99,5.4,5.81,205888187.0
20160708,5.21,5.99,5.2,5.77,260807157.0
20160701,5.06,5.38,5.03,5.26,164808775.0
20160624,5.41,5.65,4.9,5.15,175595548.0
20160617,5.49,5.65,5.2,5.4,160419778.0
20160608,5.7,5.78,5.49,5.61,150969122.0
20160603,5.88,6.3,5.67,5.68,300033836.0
20160527,5.95,6.34,5.43,5.97,287880815.0
20160520,5.03,5.78,5.03,5.49,402703880.0
20160513,4.86,5.25,4.6,5.03,223695762.0
20160506,4.49,5.42,4.44,4.98,278448915.0
20160429,4.5,4.63,4.4,4.46,70811780.0
20160422,4.91,4.91,4.41,4.52,116968640.0
20160415,4.85,4.96,4.74,4.93,169695104.0
20160408,4.69,4.97,4.63,4.77,156282711.0
20160401,4.91,4.95,4.47,4.69,212858831.0
20160325,4.7,5.23,4.52,4.85,392831984.0
20160318,4.03,4.57,4.01,4.57,246450548.0
20160311,4.08,4.19,3.95,4.0,77606096.0
20160304,4.04,4.27,3.79,4.07,125291530.0
20160226,4.45,4.54,3.97,4.07,135437834.0
20160219,3.99,4.63,3.95,4.41,103052319.0
20160205,4.02,4.23,3.84,4.13,109566692.0
20160129,4.65,4.69,3.8,4.02,109461105.0
20160122,4.46,4.85,4.4,4.61,94318399.0
20160115,5.28,5.28,4.39,4.52,111205386.0
20160108,6.39,6.45,5.0,5.35,136282102.0
20151231,6.48,6.75,6.29,6.46,132701740.0
20151225,6.54,6.66,6.25,6.42,147314395.0
20151218,6.45,6.93,6.43,6.57,214283613.0
20151211,6.73,7.0,6.42,6.5,239431603.0
20151204,6.5,6.93,6.01,6.7,245083129.0
20151127,6.18,7.23,6.15,6.52,501966098.0
20151120,6.01,6.31,5.98,6.16,265861862.0
20151113,6.49,6.65,5.98,6.1,423736144.0
20151106,5.3,6.47,5.22,6.47,350784267.0
20151030,5.42,5.66,5.03,5.36,223756269.0
20151023,5.32,5.58,4.96,5.37,204058835.0
20151016,4.88,5.38,4.84,5.34,177849458.0
20151009,4.73,4.86,4.72,4.84,40429352.0
20150930,4.62,4.73,4.51,4.58,41529543.0
20150925,4.49,4.98,4.43,4.69,119792431.0
20150918,5.08,5.15,4.07,4.51,137129733.0
20150911,4.55,5.17,4.48,5.02,125330225.0
20150902,5.42,5.42,4.35,4.4,89737360.0
20150828,6.19,6.39,4.58,5.42,216812958.0
20150821,8.48,8.88,6.53,6.66,414322962.0
20150814,6.69,8.25,6.63,8.25,331570488.0
20150807,6.17,6.92,6.11,6.64,154853317.0
20150731,7.01,7.2,5.86,6.28,237667043.0
20150724,7.18,7.8,6.88,7.23,310909025.0
20150717,7.07,7.77,5.9,7.18,391555261.0
20150710,6.84,6.84,4.59,6.73,542919565.0
20150703,9.15,9.3,6.22,6.22,367572453.0
20150626,10.38,10.59,8.87,8.87,235110190.0
20150619,12.69,13.5,10.38,10.38,307976837.0
20150612,12.03,12.88,11.2,12.75,404206753.0
20150605,10.27,12.65,10.26,12.09,494756406.0
20150529,9.23,10.93,9.07,10.2,588016839.0
20150522,7.46,9.88,7.46,9.22,744034038.0
20150515,6.91,7.63,6.8,7.42,295032015.0
20150508,7.75,7.87,6.5,6.8,218816372.0
20150430,8.11,8.38,7.01,7.73,360116196.0
20150424,6.18,8.2,5.98,7.8,400317028.0
20150417,6.18,6.64,5.92,6.18,278315544.0
20150410,6.47,6.65,5.9,6.19,187775665.0
20150403,6.2,6.64,6.09,6.46,249302296.0
20150327,6.11,6.57,5.8,6.21,254219077.0
20150320,5.68,6.21,5.68,6.09,194563068.0
20150313,5.27,5.69,5.16,5.68,119912578.0
20150306,4.97,5.61,4.91,5.33,218976904.0
20150227,4.87,5.03,4.87,4.94,63045755.0
20150217,4.81,4.92,4.81,4.86,22920245.0
20150213,4.56,4.9,4.49,4.82,56089800.0
20150206,4.79,4.91,4.55,4.56,67703822.0
20150130,4.68,5.09,4.63,4.83,122270590.0
20150123,4.59,4.81,4.3,4.68,107941969.0
20150116,4.82,4.82,4.64,4.65,51230145.0
20150109,4.74,5.14,4.69,4.83,81226165.0
20141231,5.01,5.01,4.69,4.79,39486871.0
20141226,5.38,5.38,4.67,4.96,102685708.0
20141219,5.6,5.95,5.07,5.43,138067503.0
20141212,5.7,5.93,5.09,5.63,130629767.0
20141205,5.76,6.31,5.65,5.7,174141855.0
20141128,4.87,5.91,4.85,5.79,221685903.0
20141121,4.85,5.08,4.76,4.85,74765721.0
20141114,5.15,5.17,4.5,4.87,168158105.0
20141107,4.92,5.27,4.8,5.18,132819104.0
20141031,4.67,5.12,4.64,4.92,149827204.0
20141024,5.15,5.28,4.55,4.68,175640806.0
20141017,4.4,5.24,4.23,5.12,346013670.0
20141010,4.13,4.54,4.12,4.42,122649587.0
20140930,4.0,4.15,4.0,4.13,52298876.0
20140926,4.03,4.09,3.93,4.0,100363102.0
20140919,3.92,4.1,3.78,4.03,188604102.0
20140912,3.6,4.21,3.57,3.92,279057867.0
